example_id,hardware,model_precision,mean_score,min_score,max_score,std_score
wildguard-0394,cpu,float32,0.009253959899069741,0.009253959899069741,0.009253959899069741,0.0
wildguard-0394,t4,float16_exploratory,0.009271068556699902,0.009271068556699902,0.009271068556699902,0.0
wildguard-0394,t4,float32,0.009253955184249207,0.009253955184249207,0.009253955184249207,0.0
wildguard-0953,cpu,float32,0.008560551330447197,0.008560551330447197,0.008560551330447197,0.0
wildguard-0953,t4,float16_exploratory,0.008563616924220696,0.008563616924220696,0.008563616924220696,0.0
wildguard-0953,t4,float32,0.008560546528315172,0.008560546528315172,0.008560546528315172,0.0
wildguard-1101,cpu,float32,0.009216163773089647,0.009216163773089647,0.009216163773089647,0.0
wildguard-1101,t4,float16_exploratory,0.009213810932124034,0.009213810932124034,0.009213810932124034,0.0
wildguard-1101,t4,float32,0.009216171136358753,0.009216171136358753,0.009216171136358753,0.0
wildguard-1474,cpu,float32,0.008064656314672902,0.008064656314672902,0.008064656314672902,0.0
wildguard-1474,t4,float16_exploratory,0.008069965959293768,0.008069965959293768,0.008069965959293768,0.0
wildguard-1474,t4,float32,0.008064658177318051,0.008064658177318051,0.008064658177318051,0.0
wildguard-1677,cpu,float32,0.012501538352807984,0.012501538352807984,0.012501538352807984,0.0
wildguard-1677,t4,float16_exploratory,0.012492617184761912,0.012492617184761912,0.012492617184761912,0.0
wildguard-1677,t4,float32,0.012501543678808957,0.012501543678808957,0.012501543678808957,0.0
